




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	L2-3 IT All DE Genes.txt (Mus musculus)
Reference List:	L2-3 IT All Expressed Genes.txt (Mus musculus)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	FISHER
Correction:	FDR
GO biological process complete	L2-3 IT All Expressed Genes.txt - REFLIST (9465)	L2-3 IT All DE Genes.txt (249)	L2-3 IT All DE Genes.txt (expected)	L2-3 IT All DE Genes.txt (over/under)	L2-3 IT All DE Genes.txt (fold Enrichment)	L2-3 IT All DE Genes.txt (raw P-value)	L2-3 IT All DE Genes.txt (FDR)
liver development (GO:0001889)	55	4	1.45	+	2.76	6.42E-02	1.00E00
regulation of receptor internalization (GO:0002090)	55	4	1.45	+	2.76	6.42E-02	1.00E00
hair cycle (GO:0042633)	55	4	1.45	+	2.76	6.42E-02	1.00E00
regulation of cell-substrate junction organization (GO:0150116)	55	4	1.45	+	2.76	6.42E-02	1.00E00
molting cycle (GO:0042303)	55	4	1.45	+	2.76	6.42E-02	1.00E00
negative regulation of cell-cell adhesion (GO:0022408)	69	5	1.82	+	2.75	4.10E-02	1.00E00
membrane docking (GO:0022406)	69	5	1.82	+	2.75	4.10E-02	1.00E00
cell recognition (GO:0008037)	69	5	1.82	+	2.75	4.10E-02	1.00E00
regulation of receptor-mediated endocytosis (GO:0048259)	83	6	2.18	+	2.75	2.65E-02	1.00E00
positive regulation of nervous system development (GO:0051962)	249	18	6.55	+	2.75	1.71E-04	2.85E-01
lipid transport (GO:0006869)	139	10	3.66	+	2.73	4.95E-03	6.32E-01
regulation of muscle system process (GO:0090257)	139	10	3.66	+	2.73	4.95E-03	6.26E-01
positive regulation of neutrophil migration (GO:1902624)	14	1	.37	+	2.72	3.23E-01	1.00E00
positive regulation of intrinsic apoptotic signaling pathway (GO:2001244)	42	3	1.10	+	2.72	1.08E-01	1.00E00
positive regulation of protein localization to plasma membrane (GO:1903078)	42	3	1.10	+	2.72	1.08E-01	1.00E00
neuropeptide signaling pathway (GO:0007218)	28	2	.74	+	2.72	1.79E-01	1.00E00
negative regulation of stem cell differentiation (GO:2000737)	14	1	.37	+	2.72	3.23E-01	1.00E00
leukocyte cell-cell adhesion (GO:0007159)	14	1	.37	+	2.72	3.23E-01	1.00E00
TORC1 signaling (GO:0038202)	14	1	.37	+	2.72	3.23E-01	1.00E00
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	14	1	.37	+	2.72	3.23E-01	1.00E00
regulation of cell cycle checkpoint (GO:1901976)	28	2	.74	+	2.72	1.79E-01	1.00E00
viral translation (GO:0019081)	14	1	.37	+	2.72	3.23E-01	1.00E00
modulation by host of viral genome replication (GO:0044827)	14	1	.37	+	2.72	3.23E-01	1.00E00
regulation of sensory perception of pain (GO:0051930)	28	2	.74	+	2.72	1.79E-01	1.00E00
'de novo' protein folding (GO:0006458)	28	2	.74	+	2.72	1.79E-01	1.00E00
regulation of phosphatidylinositol 3-kinase signaling (GO:0014066)	42	3	1.10	+	2.72	1.08E-01	1.00E00
cellular response to steroid hormone stimulus (GO:0071383)	56	4	1.47	+	2.72	6.74E-02	1.00E00
regulation of mitochondrial membrane permeability involved in apoptotic process (GO:1902108)	14	1	.37	+	2.72	3.23E-01	1.00E00
regulation of anoikis (GO:2000209)	14	1	.37	+	2.72	3.23E-01	1.00E00
regulation of brown fat cell differentiation (GO:0090335)	14	1	.37	+	2.72	3.23E-01	1.00E00
synaptic membrane adhesion (GO:0099560)	28	2	.74	+	2.72	1.79E-01	1.00E00
regulation of voltage-gated calcium channel activity (GO:1901385)	28	2	.74	+	2.72	1.79E-01	1.00E00
positive regulation of lipid catabolic process (GO:0050996)	14	1	.37	+	2.72	3.23E-01	1.00E00
COPII-coated vesicle budding (GO:0090114)	28	2	.74	+	2.72	1.79E-01	1.00E00
protein K63-linked deubiquitination (GO:0070536)	28	2	.74	+	2.72	1.79E-01	1.00E00
relaxation of muscle (GO:0090075)	14	1	.37	+	2.72	3.23E-01	1.00E00
positive regulation of p38MAPK cascade (GO:1900745)	14	1	.37	+	2.72	3.23E-01	1.00E00
regulation of ERBB signaling pathway (GO:1901184)	42	3	1.10	+	2.72	1.08E-01	1.00E00
regulation of postsynapse organization (GO:0099175)	98	7	2.58	+	2.72	1.81E-02	9.38E-01
lens fiber cell differentiation (GO:0070306)	14	1	.37	+	2.72	3.23E-01	1.00E00
positive regulation of phosphatidylinositol 3-kinase activity (GO:0043552)	14	1	.37	+	2.72	3.23E-01	1.00E00
mitotic G1 DNA damage checkpoint signaling (GO:0031571)	14	1	.37	+	2.72	3.23E-01	1.00E00
COPII vesicle coating (GO:0048208)	14	1	.37	+	2.72	3.23E-01	1.00E00
vesicle targeting, rough ER to cis-Golgi (GO:0048207)	14	1	.37	+	2.72	3.23E-01	1.00E00
behavioral response to cocaine (GO:0048148)	14	1	.37	+	2.72	3.23E-01	1.00E00
cortical cytoskeleton organization (GO:0030865)	42	3	1.10	+	2.72	1.08E-01	1.00E00
anaphase-promoting complex-dependent catabolic process (GO:0031145)	14	1	.37	+	2.72	3.23E-01	1.00E00
ovulation cycle (GO:0042698)	28	2	.74	+	2.72	1.79E-01	1.00E00
nuclear body organization (GO:0030575)	14	1	.37	+	2.72	3.23E-01	1.00E00
positive regulation of protein processing (GO:0010954)	14	1	.37	+	2.72	3.23E-01	1.00E00
negative regulation of cytokine production involved in inflammatory response (GO:1900016)	14	1	.37	+	2.72	3.23E-01	1.00E00
regulation of hippo signaling (GO:0035330)	14	1	.37	+	2.72	3.23E-01	1.00E00
positive regulation of dephosphorylation (GO:0035306)	42	3	1.10	+	2.72	1.08E-01	1.00E00
regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum (GO:0010880)	14	1	.37	+	2.72	3.23E-01	1.00E00
segmentation (GO:0035282)	42	3	1.10	+	2.72	1.08E-01	1.00E00
regulation of vesicle size (GO:0097494)	14	1	.37	+	2.72	3.23E-01	1.00E00
muscle cell cellular homeostasis (GO:0046716)	14	1	.37	+	2.72	3.23E-01	1.00E00
negative regulation of organ growth (GO:0046621)	28	2	.74	+	2.72	1.79E-01	1.00E00
asymmetric cell division (GO:0008356)	14	1	.37	+	2.72	3.23E-01	1.00E00
regulation of lamellipodium assembly (GO:0010591)	28	2	.74	+	2.72	1.79E-01	1.00E00
regulation of blood circulation (GO:1903522)	126	9	3.31	+	2.72	7.84E-03	6.86E-01
labyrinthine layer blood vessel development (GO:0060716)	14	1	.37	+	2.72	3.23E-01	1.00E00
positive regulation of immunoglobulin mediated immune response (GO:0002891)	14	1	.37	+	2.72	3.23E-01	1.00E00
peptide hormone secretion (GO:0030072)	42	3	1.10	+	2.72	1.08E-01	1.00E00
negative regulation of adaptive immune response (GO:0002820)	14	1	.37	+	2.72	3.23E-01	1.00E00
positive regulation of translational initiation (GO:0045948)	14	1	.37	+	2.72	3.23E-01	1.00E00
phosphatidylethanolamine metabolic process (GO:0046337)	14	1	.37	+	2.72	3.23E-01	1.00E00
positive regulation of fatty acid oxidation (GO:0046321)	14	1	.37	+	2.72	3.23E-01	1.00E00
Arp2/3 complex-mediated actin nucleation (GO:0034314)	14	1	.37	+	2.72	3.23E-01	1.00E00
positive regulation of myeloid leukocyte cytokine production involved in immune response (GO:0061081)	14	1	.37	+	2.72	3.23E-01	1.00E00
positive regulation of B cell mediated immunity (GO:0002714)	14	1	.37	+	2.72	3.23E-01	1.00E00
negative regulation of lymphocyte mediated immunity (GO:0002707)	14	1	.37	+	2.72	3.23E-01	1.00E00
hepaticobiliary system development (GO:0061008)	56	4	1.47	+	2.72	6.74E-02	1.00E00
regulation of non-motile cilium assembly (GO:1902855)	14	1	.37	+	2.72	3.23E-01	1.00E00
regulation of neurotransmitter transport (GO:0051588)	99	7	2.60	+	2.69	1.90E-02	9.43E-01
positive regulation of calcium ion transport (GO:0051928)	71	5	1.87	+	2.68	4.51E-02	1.00E00
response to ketone (GO:1901654)	71	5	1.87	+	2.68	4.51E-02	1.00E00
cellular response to hypoxia (GO:0071456)	57	4	1.50	+	2.67	7.08E-02	1.00E00
negative regulation of transforming growth factor beta receptor signaling pathway (GO:0030512)	57	4	1.50	+	2.67	7.08E-02	1.00E00
regulation of intracellular pH (GO:0051453)	43	3	1.13	+	2.65	1.13E-01	1.00E00
regulation of pattern recognition receptor signaling pathway (GO:0062207)	43	3	1.13	+	2.65	1.13E-01	1.00E00
iron ion homeostasis (GO:0055072)	43	3	1.13	+	2.65	1.13E-01	1.00E00
regulation of response to biotic stimulus (GO:0002831)	129	9	3.39	+	2.65	9.00E-03	7.52E-01
peptide secretion (GO:0002790)	43	3	1.13	+	2.65	1.13E-01	1.00E00
cellular response to oxygen levels (GO:0071453)	72	5	1.89	+	2.64	4.73E-02	1.00E00
transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)	101	7	2.66	+	2.63	2.08E-02	9.93E-01
negative regulation of ion transport (GO:0043271)	101	7	2.66	+	2.63	2.08E-02	9.89E-01
regulation of synapse organization (GO:0050807)	217	15	5.71	+	2.63	9.18E-04	3.70E-01
neuroblast proliferation (GO:0007405)	29	2	.76	+	2.62	1.88E-01	1.00E00
JNK cascade (GO:0007254)	29	2	.76	+	2.62	1.88E-01	1.00E00
protein monoubiquitination (GO:0006513)	58	4	1.53	+	2.62	7.42E-02	1.00E00
regulation of sensory perception (GO:0051931)	29	2	.76	+	2.62	1.88E-01	1.00E00
positive regulation of interleukin-6 production (GO:0032755)	29	2	.76	+	2.62	1.88E-01	1.00E00
export across plasma membrane (GO:0140115)	29	2	.76	+	2.62	1.88E-01	1.00E00
positive regulation of substrate adhesion-dependent cell spreading (GO:1900026)	29	2	.76	+	2.62	1.88E-01	1.00E00
glutamine family amino acid metabolic process (GO:0009064)	29	2	.76	+	2.62	1.88E-01	1.00E00
regulation of membrane lipid distribution (GO:0097035)	29	2	.76	+	2.62	1.88E-01	1.00E00
neuron migration (GO:0001764)	102	7	2.68	+	2.61	2.18E-02	9.60E-01
negative regulation of cell migration (GO:0030336)	175	12	4.60	+	2.61	3.12E-03	5.61E-01
fat cell differentiation (GO:0045444)	73	5	1.92	+	2.60	4.95E-02	1.00E00
regulation of innate immune response (GO:0045088)	73	5	1.92	+	2.60	4.95E-02	1.00E00
regulation of nervous system development (GO:0051960)	351	24	9.23	+	2.60	3.27E-05	4.35E-01
negative regulation of cell development (GO:0010721)	117	8	3.08	+	2.60	1.50E-02	8.75E-01
peptidyl-tyrosine phosphorylation (GO:0018108)	44	3	1.16	+	2.59	1.19E-01	1.00E00
regulation of action potential (GO:0098900)	44	3	1.16	+	2.59	1.19E-01	1.00E00
membrane biogenesis (GO:0044091)	44	3	1.16	+	2.59	1.19E-01	1.00E00
regulation of protein tyrosine kinase activity (GO:0061097)	44	3	1.16	+	2.59	1.19E-01	1.00E00
regulation of metal ion transport (GO:0010959)	250	17	6.58	+	2.58	5.05E-04	3.35E-01
multi-organism reproductive process (GO:0044703)	59	4	1.55	+	2.58	7.77E-02	1.00E00
organic hydroxy compound transport (GO:0015850)	59	4	1.55	+	2.58	7.77E-02	1.00E00
regulation of synapse structure or activity (GO:0050803)	222	15	5.84	+	2.57	1.14E-03	3.98E-01
regulation of potassium ion transport (GO:0043266)	74	5	1.95	+	2.57	5.18E-02	1.00E00
monovalent inorganic cation homeostasis (GO:0055067)	74	5	1.95	+	2.57	5.18E-02	1.00E00
skeletal muscle organ development (GO:0060538)	74	5	1.95	+	2.57	5.18E-02	1.00E00
regulation of RNA stability (GO:0043487)	119	8	3.13	+	2.56	1.63E-02	9.03E-01
positive regulation of cell development (GO:0010720)	239	16	6.29	+	2.54	8.61E-04	4.09E-01
positive regulation of oxidative stress-induced cell death (GO:1903209)	15	1	.39	+	2.53	3.40E-01	1.00E00
regulation of heart growth (GO:0060420)	45	3	1.18	+	2.53	1.24E-01	1.00E00
response to X-ray (GO:0010165)	15	1	.39	+	2.53	3.40E-01	1.00E00
neuromuscular synaptic transmission (GO:0007274)	15	1	.39	+	2.53	3.40E-01	1.00E00
vitamin metabolic process (GO:0006766)	15	1	.39	+	2.53	3.40E-01	1.00E00
cotranslational protein targeting to membrane (GO:0006613)	15	1	.39	+	2.53	3.40E-01	1.00E00
viral genome replication (GO:0019079)	15	1	.39	+	2.53	3.40E-01	1.00E00
vacuolar acidification (GO:0007035)	15	1	.39	+	2.53	3.40E-01	1.00E00
positive regulation of cardiac muscle cell proliferation (GO:0060045)	15	1	.39	+	2.53	3.40E-01	1.00E00
mitotic G1/S transition checkpoint signaling (GO:0044819)	15	1	.39	+	2.53	3.40E-01	1.00E00
positive regulation of CREB transcription factor activity (GO:0032793)	15	1	.39	+	2.53	3.40E-01	1.00E00
positive regulation of lymphocyte migration (GO:2000403)	15	1	.39	+	2.53	3.40E-01	1.00E00
positive regulation of mesenchymal cell proliferation (GO:0002053)	15	1	.39	+	2.53	3.40E-01	1.00E00
oocyte maturation (GO:0001556)	15	1	.39	+	2.53	3.40E-01	1.00E00
cellular response to interleukin-1 (GO:0071347)	30	2	.79	+	2.53	1.98E-01	1.00E00
protein insertion into ER membrane (GO:0045048)	15	1	.39	+	2.53	3.40E-01	1.00E00
alpha-amino acid catabolic process (GO:1901606)	30	2	.79	+	2.53	1.98E-01	1.00E00
peptidyl-arginine modification (GO:0018195)	15	1	.39	+	2.53	3.40E-01	1.00E00
negative regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032435)	30	2	.79	+	2.53	1.98E-01	1.00E00
protein localization to chromatin (GO:0071168)	15	1	.39	+	2.53	3.40E-01	1.00E00
positive regulation of oligodendrocyte differentiation (GO:0048714)	15	1	.39	+	2.53	3.40E-01	1.00E00
positive regulation of protein localization to cell surface (GO:2000010)	15	1	.39	+	2.53	3.40E-01	1.00E00
positive regulation of developmental growth (GO:0048639)	135	9	3.55	+	2.53	1.17E-02	8.15E-01
negative chemotaxis (GO:0050919)	30	2	.79	+	2.53	1.98E-01	1.00E00
regulation of vascular endothelial growth factor signaling pathway (GO:1900746)	15	1	.39	+	2.53	3.40E-01	1.00E00
activation of protein kinase B activity (GO:0032148)	15	1	.39	+	2.53	3.40E-01	1.00E00
negative regulation of cold-induced thermogenesis (GO:0120163)	30	2	.79	+	2.53	1.98E-01	1.00E00
regulation of neurotransmitter receptor localization to postsynaptic specialization membrane (GO:0098696)	15	1	.39	+	2.53	3.40E-01	1.00E00
positive regulation of blood vessel endothelial cell migration (GO:0043536)	30	2	.79	+	2.53	1.98E-01	1.00E00
response to mechanical stimulus (GO:0009612)	75	5	1.97	+	2.53	5.42E-02	1.00E00
regulation of excitatory synapse assembly (GO:1904889)	15	1	.39	+	2.53	3.40E-01	1.00E00
clathrin coat assembly (GO:0048268)	15	1	.39	+	2.53	3.40E-01	1.00E00
xenobiotic transport (GO:0042908)	15	1	.39	+	2.53	3.40E-01	1.00E00
regulation of long-term neuronal synaptic plasticity (GO:0048169)	30	2	.79	+	2.53	1.98E-01	1.00E00
positive regulation of vascular associated smooth muscle cell migration (GO:1904754)	15	1	.39	+	2.53	3.40E-01	1.00E00
exploration behavior (GO:0035640)	30	2	.79	+	2.53	1.98E-01	1.00E00
negative regulation of vascular permeability (GO:0043116)	15	1	.39	+	2.53	3.40E-01	1.00E00
muscle cell development (GO:0055001)	75	5	1.97	+	2.53	5.42E-02	1.00E00
negative regulation of histone methylation (GO:0031061)	15	1	.39	+	2.53	3.40E-01	1.00E00
neuron maturation (GO:0042551)	30	2	.79	+	2.53	1.98E-01	1.00E00
dosage compensation by inactivation of X chromosome (GO:0009048)	15	1	.39	+	2.53	3.40E-01	1.00E00
regulation of hormone biosynthetic process (GO:0046885)	15	1	.39	+	2.53	3.40E-01	1.00E00
alpha-beta T cell differentiation (GO:0046632)	30	2	.79	+	2.53	1.98E-01	1.00E00
negative regulation of ossification (GO:0030279)	15	1	.39	+	2.53	3.40E-01	1.00E00
cellular response to alcohol (GO:0097306)	45	3	1.18	+	2.53	1.24E-01	1.00E00
keratinocyte differentiation (GO:0030216)	30	2	.79	+	2.53	1.98E-01	1.00E00
glycerophospholipid catabolic process (GO:0046475)	15	1	.39	+	2.53	3.40E-01	1.00E00
positive regulation of synaptic vesicle recycling (GO:1903423)	15	1	.39	+	2.53	3.40E-01	1.00E00
regulation of synaptic vesicle recycling (GO:1903421)	30	2	.79	+	2.53	1.98E-01	1.00E00
negative regulation of dendritic spine development (GO:0061000)	15	1	.39	+	2.53	3.40E-01	1.00E00
positive regulation of protein maturation (GO:1903319)	15	1	.39	+	2.53	3.40E-01	1.00E00
dosage compensation (GO:0007549)	15	1	.39	+	2.53	3.40E-01	1.00E00
positive regulation of cell cycle G1/S phase transition (GO:1902808)	30	2	.79	+	2.53	1.98E-01	1.00E00
positive regulation of cation transmembrane transport (GO:1904064)	106	7	2.79	+	2.51	2.60E-02	1.00E00
regulation of neurogenesis (GO:0050767)	288	19	7.58	+	2.51	3.40E-04	2.82E-01
negative regulation of cell motility (GO:2000146)	182	12	4.79	+	2.51	4.20E-03	6.14E-01
regulation of neurotransmitter secretion (GO:0046928)	91	6	2.39	+	2.51	3.82E-02	1.00E00
positive regulation of cell-substrate adhesion (GO:0010811)	76	5	2.00	+	2.50	5.66E-02	1.00E00
regulation of potassium ion transmembrane transport (GO:1901379)	61	4	1.60	+	2.49	8.50E-02	1.00E00
regulation of organ growth (GO:0046620)	61	4	1.60	+	2.49	8.50E-02	1.00E00
positive regulation of neuron projection development (GO:0010976)	168	11	4.42	+	2.49	6.33E-03	6.27E-01
regulation of glial cell differentiation (GO:0045685)	46	3	1.21	+	2.48	1.30E-01	1.00E00
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	46	3	1.21	+	2.48	1.30E-01	1.00E00
mitotic DNA damage checkpoint signaling (GO:0044773)	46	3	1.21	+	2.48	1.30E-01	1.00E00
peptidyl-tyrosine modification (GO:0018212)	46	3	1.21	+	2.48	1.30E-01	1.00E00
receptor internalization (GO:0031623)	46	3	1.21	+	2.48	1.30E-01	1.00E00
regulation of cell-matrix adhesion (GO:0001952)	77	5	2.03	+	2.47	5.91E-02	1.00E00
regulation of mRNA stability (GO:0043488)	108	7	2.84	+	2.46	2.82E-02	1.00E00
learning (GO:0007612)	139	9	3.66	+	2.46	1.38E-02	8.39E-01
face development (GO:0060324)	31	2	.82	+	2.45	2.07E-01	1.00E00
chloride transmembrane transport (GO:1902476)	31	2	.82	+	2.45	2.07E-01	1.00E00
protein targeting to ER (GO:0045047)	31	2	.82	+	2.45	2.07E-01	1.00E00
embryonic pattern specification (GO:0009880)	31	2	.82	+	2.45	2.07E-01	1.00E00
positive regulation of actin filament polymerization (GO:0030838)	31	2	.82	+	2.45	2.07E-01	1.00E00
protein localization to synapse (GO:0035418)	62	4	1.63	+	2.45	8.88E-02	1.00E00
negative regulation of axon extension (GO:0030517)	31	2	.82	+	2.45	2.07E-01	1.00E00
second-messenger-mediated signaling (GO:0019932)	93	6	2.45	+	2.45	4.15E-02	1.00E00
epithelial cell apoptotic process (GO:1904019)	31	2	.82	+	2.45	2.07E-01	1.00E00
cellular monovalent inorganic cation homeostasis (GO:0030004)	62	4	1.63	+	2.45	8.88E-02	1.00E00
positive regulation of transmembrane transport (GO:0034764)	156	10	4.10	+	2.44	1.03E-02	7.55E-01
protein dephosphorylation (GO:0006470)	125	8	3.29	+	2.43	2.10E-02	9.41E-01
long-term synaptic potentiation (GO:0060291)	47	3	1.24	+	2.43	1.36E-01	1.00E00
mitotic DNA integrity checkpoint signaling (GO:0044774)	47	3	1.24	+	2.43	1.36E-01	1.00E00
regulation of interleukin-6 production (GO:0032675)	47	3	1.24	+	2.43	1.36E-01	1.00E00
tissue remodeling (GO:0048771)	47	3	1.24	+	2.43	1.36E-01	1.00E00
positive regulation of ion transport (GO:0043270)	188	12	4.95	+	2.43	5.35E-03	6.08E-01
gonad development (GO:0008406)	94	6	2.47	+	2.43	4.33E-02	1.00E00
regulation of protein localization to plasma membrane (GO:1903076)	79	5	2.08	+	2.41	6.42E-02	1.00E00
negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090101)	79	5	2.08	+	2.41	6.42E-02	1.00E00
positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)	79	5	2.08	+	2.41	6.42E-02	1.00E00
gland development (GO:0048732)	190	12	5.00	+	2.40	5.79E-03	6.20E-01
positive regulation of defense response (GO:0031349)	95	6	2.50	+	2.40	4.51E-02	1.00E00
carbohydrate transmembrane transport (GO:0034219)	16	1	.42	+	2.38	3.57E-01	1.00E00
multicellular organism aging (GO:0010259)	16	1	.42	+	2.38	3.57E-01	1.00E00
endoderm development (GO:0007492)	32	2	.84	+	2.38	2.16E-01	1.00E00
triglyceride biosynthetic process (GO:0019432)	16	1	.42	+	2.38	3.57E-01	1.00E00
muscle contraction (GO:0006936)	80	5	2.10	+	2.38	6.69E-02	1.00E00
spermatid nucleus differentiation (GO:0007289)	16	1	.42	+	2.38	3.57E-01	1.00E00
camera-type eye photoreceptor cell differentiation (GO:0060219)	16	1	.42	+	2.38	3.57E-01	1.00E00
regulation of cellular response to vascular endothelial growth factor stimulus (GO:1902547)	16	1	.42	+	2.38	3.57E-01	1.00E00
epithelial to mesenchymal transition (GO:0001837)	32	2	.84	+	2.38	2.16E-01	1.00E00
negative regulation of stem cell population maintenance (GO:1902455)	16	1	.42	+	2.38	3.57E-01	1.00E00
lymphocyte homeostasis (GO:0002260)	32	2	.84	+	2.38	2.16E-01	1.00E00
synapse maturation (GO:0060074)	16	1	.42	+	2.38	3.57E-01	1.00E00
multi-multicellular organism process (GO:0044706)	64	4	1.68	+	2.38	9.65E-02	1.00E00
positive regulation of chemokine production (GO:0032722)	16	1	.42	+	2.38	3.57E-01	1.00E00
development of primary sexual characteristics (GO:0045137)	96	6	2.53	+	2.38	4.69E-02	1.00E00
nucleosome assembly (GO:0006334)	32	2	.84	+	2.38	2.16E-01	1.00E00
regulation of reproductive process (GO:2000241)	80	5	2.10	+	2.38	6.69E-02	1.00E00
peptidyl-threonine modification (GO:0018210)	64	4	1.68	+	2.38	9.65E-02	1.00E00
negative regulation of axon extension involved in axon guidance (GO:0048843)	16	1	.42	+	2.38	3.57E-01	1.00E00
maintenance of synapse structure (GO:0099558)	16	1	.42	+	2.38	3.57E-01	1.00E00
positive regulation of voltage-gated calcium channel activity (GO:1901387)	16	1	.42	+	2.38	3.57E-01	1.00E00
response to fatty acid (GO:0070542)	16	1	.42	+	2.38	3.57E-01	1.00E00
positive regulation of chemotaxis (GO:0050921)	64	4	1.68	+	2.38	9.65E-02	1.00E00
regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0106070)	16	1	.42	+	2.38	3.57E-01	1.00E00
regulation of response to nutrient levels (GO:0032107)	16	1	.42	+	2.38	3.57E-01	1.00E00
regulation of response to extracellular stimulus (GO:0032104)	16	1	.42	+	2.38	3.57E-01	1.00E00
positive regulation of phagocytosis (GO:0050766)	32	2	.84	+	2.38	2.16E-01	1.00E00
regulation of respiratory gaseous exchange (GO:0043576)	16	1	.42	+	2.38	3.57E-01	1.00E00
presynapse assembly (GO:0099054)	16	1	.42	+	2.38	3.57E-01	1.00E00
lung alveolus development (GO:0048286)	32	2	.84	+	2.38	2.16E-01	1.00E00
positive regulation of insulin secretion involved in cellular response to glucose stimulus (GO:0035774)	32	2	.84	+	2.38	2.16E-01	1.00E00
regulation of cellular pH (GO:0030641)	48	3	1.26	+	2.38	1.42E-01	1.00E00
sodium ion homeostasis (GO:0055078)	16	1	.42	+	2.38	3.57E-01	1.00E00
negative regulation of histone modification (GO:0031057)	32	2	.84	+	2.38	2.16E-01	1.00E00
monosaccharide transmembrane transport (GO:0015749)	16	1	.42	+	2.38	3.57E-01	1.00E00
positive regulation of protein localization to cell periphery (GO:1904377)	48	3	1.26	+	2.38	1.42E-01	1.00E00
lipid localization (GO:0010876)	160	10	4.21	+	2.38	1.21E-02	8.24E-01
positive regulation of glucose transmembrane transport (GO:0010828)	32	2	.84	+	2.38	2.16E-01	1.00E00
regulation of cell morphogenesis involved in differentiation (GO:0010769)	96	6	2.53	+	2.38	4.69E-02	1.00E00
positive regulation of fibroblast migration (GO:0010763)	16	1	.42	+	2.38	3.57E-01	1.00E00
cholesterol transport (GO:0030301)	32	2	.84	+	2.38	2.16E-01	1.00E00
regulation of establishment of protein localization to mitochondrion (GO:1903747)	16	1	.42	+	2.38	3.57E-01	1.00E00
glial cell migration (GO:0008347)	32	2	.84	+	2.38	2.16E-01	1.00E00
histone mRNA metabolic process (GO:0008334)	16	1	.42	+	2.38	3.57E-01	1.00E00
heart trabecula morphogenesis (GO:0061384)	16	1	.42	+	2.38	3.57E-01	1.00E00
positive regulation of glycoprotein biosynthetic process (GO:0010560)	16	1	.42	+	2.38	3.57E-01	1.00E00
response to fluid shear stress (GO:0034405)	16	1	.42	+	2.38	3.57E-01	1.00E00
extracellular matrix assembly (GO:0085029)	16	1	.42	+	2.38	3.57E-01	1.00E00
blood circulation (GO:0008015)	192	12	5.05	+	2.38	6.25E-03	6.29E-01
negative regulation of immune effector process (GO:0002698)	32	2	.84	+	2.38	2.16E-01	1.00E00
regulation of cell-substrate adhesion (GO:0010810)	129	8	3.39	+	2.36	2.45E-02	1.00E00
cellular ion homeostasis (GO:0006873)	226	14	5.95	+	2.35	5.32E-03	6.15E-01
ion homeostasis (GO:0050801)	275	17	7.23	+	2.35	1.82E-03	4.74E-01
learning or memory (GO:0007611)	227	14	5.97	+	2.34	5.40E-03	6.09E-01
angiogenesis (GO:0001525)	146	9	3.84	+	2.34	1.82E-02	9.37E-01
myeloid leukocyte differentiation (GO:0002573)	65	4	1.71	+	2.34	1.00E-01	1.00E00
regulation of cell development (GO:0060284)	358	22	9.42	+	2.34	3.41E-04	2.66E-01
cellular calcium ion homeostasis (GO:0006874)	114	7	3.00	+	2.33	3.58E-02	1.00E00
modulation of excitatory postsynaptic potential (GO:0098815)	49	3	1.29	+	2.33	1.48E-01	1.00E00
negative regulation of immune response (GO:0050777)	49	3	1.29	+	2.33	1.48E-01	1.00E00
positive regulation of neuron apoptotic process (GO:0043525)	49	3	1.29	+	2.33	1.48E-01	1.00E00
peptide transport (GO:0015833)	49	3	1.29	+	2.33	1.48E-01	1.00E00
regulation of heart contraction (GO:0008016)	98	6	2.58	+	2.33	5.07E-02	1.00E00
regulation of lamellipodium organization (GO:1902743)	33	2	.87	+	2.30	2.26E-01	1.00E00
cerebellar cortex morphogenesis (GO:0021696)	33	2	.87	+	2.30	2.26E-01	1.00E00
potassium ion transport (GO:0006813)	99	6	2.60	+	2.30	5.27E-02	1.00E00
excitatory postsynaptic potential (GO:0060079)	33	2	.87	+	2.30	2.26E-01	1.00E00
regulation of chromatin organization (GO:1902275)	33	2	.87	+	2.30	2.26E-01	1.00E00
postsynaptic signal transduction (GO:0098926)	33	2	.87	+	2.30	2.26E-01	1.00E00
thymus development (GO:0048538)	33	2	.87	+	2.30	2.26E-01	1.00E00
regulation of lipid kinase activity (GO:0043550)	33	2	.87	+	2.30	2.26E-01	1.00E00
positive regulation of calcium ion transmembrane transporter activity (GO:1901021)	33	2	.87	+	2.30	2.26E-01	1.00E00
actin-mediated cell contraction (GO:0070252)	33	2	.87	+	2.30	2.26E-01	1.00E00
negative regulation of MAPK cascade (GO:0043409)	99	6	2.60	+	2.30	5.27E-02	1.00E00
autophagosome maturation (GO:0097352)	33	2	.87	+	2.30	2.26E-01	1.00E00
positive regulation of smooth muscle cell migration (GO:0014911)	33	2	.87	+	2.30	2.26E-01	1.00E00
somite development (GO:0061053)	33	2	.87	+	2.30	2.26E-01	1.00E00
