




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	Micro-PVM All DE Genes.txt (Mus musculus)
Reference List:	Micro-PVM All Expressed Genes.txt (Mus musculus)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Micro-PVM All Expressed Genes.txt - REFLIST (4751)	Micro-PVM All DE Genes.txt (40)	Micro-PVM All DE Genes.txt (expected)	Micro-PVM All DE Genes.txt (over/under)	Micro-PVM All DE Genes.txt (fold Enrichment)	Micro-PVM All DE Genes.txt (raw P-value)	Micro-PVM All DE Genes.txt (FDR)
mitochondrial respiratory chain complex I assembly (GO:0032981)	18	0	.15	-	 < 0.01	1.00E00	1.00E00
regulation of genetic imprinting (GO:2000653)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
nephrogenic mesenchyme morphogenesis (GO:0072134)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of sodium ion transmembrane transporter activity (GO:2000651)	9	1	.08	+	13.20	8.05E-02	1.00E00
metanephric mesenchyme morphogenesis (GO:0072133)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of sodium ion transmembrane transporter activity (GO:2000650)	5	1	.04	+	23.75	4.91E-02	1.00E00
mesenchyme morphogenesis (GO:0072132)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
positive regulation of type III hypersensitivity (GO:0001805)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
kidney mesenchyme morphogenesis (GO:0072131)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of type III hypersensitivity (GO:0001803)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein autoubiquitination (GO:1902499)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of protein autoubiquitination (GO:1902498)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
iron-sulfur cluster transmembrane transport (GO:1902497)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of dopamine receptor signaling pathway (GO:0060161)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitotic centrosome separation (GO:0007100)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein insertion into mitochondrial inner membrane from matrix (GO:0032979)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein insertion into membrane from inner side (GO:0032978)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
amino acid transmembrane export from vacuole (GO:0032974)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of sodium ion transmembrane transporter activity (GO:2000649)	21	2	.18	+	11.31	1.54E-02	1.00E00
positive regulation of stem cell proliferation (GO:2000648)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of stem cell proliferation (GO:2000647)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of actin filament-based process (GO:0032970)	164	4	1.38	+	2.90	5.00E-02	1.00E00
positive regulation of receptor catabolic process (GO:2000646)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of receptor catabolic process (GO:2000645)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of receptor catabolic process (GO:2000644)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of glomerular mesangial cell proliferation (GO:0072126)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of early endosome to late endosome transport (GO:2000643)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of early endosome to late endosome transport (GO:2000642)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of glomerular mesangial cell proliferation (GO:0072124)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of early endosome to late endosome transport (GO:2000641)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of dopamine receptor signaling pathway (GO:0060159)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
phospholipase C-activating dopamine receptor signaling pathway (GO:0060158)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of endopeptidase activity (GO:0052548)	100	0	.84	-	 < 0.01	1.00E00	1.00E00
regulation of peptidase activity (GO:0052547)	108	0	.91	-	 < 0.01	1.00E00	1.00E00
platelet dense granule organization (GO:0060155)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
microtubule-based peroxisome localization (GO:0060152)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
peroxisome localization (GO:0060151)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription elongation by RNA polymerase II (GO:0032968)	25	0	.21	-	 < 0.01	1.00E00	1.00E00
positive regulation of collagen biosynthetic process (GO:0032967)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of collagen biosynthetic process (GO:0032966)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of collagen biosynthetic process (GO:0032965)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
collagen metabolic process (GO:0032963)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of SREBP signaling pathway (GO:2000639)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of inositol trisphosphate biosynthetic process (GO:0032962)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of SREBP signaling pathway (GO:2000638)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of miRNA-mediated gene silencing (GO:2000637)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
regulation of inositol trisphosphate biosynthetic process (GO:0032960)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of primary miRNA processing (GO:2000635)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of primary miRNA processing (GO:2000634)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
pronephros morphogenesis (GO:0072114)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of miRNA metabolic process (GO:2000630)	24	0	.20	-	 < 0.01	1.00E00	1.00E00
podocyte differentiation (GO:0072112)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
cell proliferation involved in kidney development (GO:0072111)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
glomerular mesangial cell proliferation (GO:0072110)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of post-transcriptional gene silencing (GO:0060149)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of post-transcriptional gene silencing (GO:0060148)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
regulation of post-transcriptional gene silencing (GO:0060147)	22	0	.19	-	 < 0.01	1.00E00	1.00E00
chloride transmembrane transport (GO:1902476)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
L-alpha-amino acid transmembrane transport (GO:1902475)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein localization to synapse (GO:1902474)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of syncytium formation by plasma membrane fusion (GO:0060143)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of protein localization to synapse (GO:1902473)	16	1	.13	+	7.42	1.33E-01	1.00E00
regulation of syncytium formation by plasma membrane fusion (GO:0060142)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
inositol trisphosphate biosynthetic process (GO:0032959)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
inositol phosphate biosynthetic process (GO:0032958)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
inositol trisphosphate metabolic process (GO:0032957)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of actin cytoskeleton organization (GO:0032956)	148	1	1.25	-	.80	1.00E00	1.00E00
negative regulation of miRNA metabolic process (GO:2000629)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of miRNA metabolic process (GO:2000628)	35	0	.29	-	 < 0.01	1.00E00	1.00E00
positive regulation of miRNA catabolic process (GO:2000627)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
glomerular mesangium development (GO:0072109)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of miRNA catabolic process (GO:2000626)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of miRNA catabolic process (GO:2000625)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:2000623)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:2000622)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
glomerular capillary formation (GO:0072104)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glomerulus vasculature morphogenesis (GO:0072103)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of histone H4-K16 acetylation (GO:2000620)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glomerulus morphogenesis (GO:0072102)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of apoptotic process by virus (GO:0060139)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
maternal process involved in parturition (GO:0060137)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
embryonic process involved in female pregnancy (GO:0060136)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of histone H3-K27 trimethylation (GO:1902466)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
maternal process involved in female pregnancy (GO:0060135)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
prepulse inhibition (GO:0060134)	6	1	.05	+	19.80	5.70E-02	1.00E00
regulation of histone H3-K27 trimethylation (GO:1902464)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein localization to cell leading edge (GO:1902463)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of mononuclear cell proliferation (GO:0032946)	44	0	.37	-	 < 0.01	1.00E00	1.00E00
negative regulation of mononuclear cell proliferation (GO:0032945)	33	0	.28	-	 < 0.01	1.00E00	1.00E00
regulation of mononuclear cell proliferation (GO:0032944)	78	0	.66	-	 < 0.01	1.00E00	1.00E00
mononuclear cell proliferation (GO:0032943)	52	0	.44	-	 < 0.01	1.00E00	1.00E00
negative regulation of histone H4-K16 acetylation (GO:2000619)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of histone H4-K16 acetylation (GO:2000618)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
secretion by tissue (GO:0032941)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of histone H3-K9 acetylation (GO:2000617)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
secretion by cell (GO:0032940)	147	0	1.24	-	 < 0.01	6.35E-01	1.00E00
negative regulation of histone H3-K9 acetylation (GO:2000616)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of histone H3-K9 acetylation (GO:2000615)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of stem cell population maintenance (GO:1902459)	24	0	.20	-	 < 0.01	1.00E00	1.00E00
negative regulation of growth hormone secretion (GO:0060125)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of stem cell population maintenance (GO:1902455)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of growth hormone secretion (GO:0060124)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of growth hormone secretion (GO:0060123)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
inner ear receptor cell stereocilium organization (GO:0060122)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
bile acid biosynthetic process (GO:0006699)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
inner ear receptor cell fate commitment (GO:0060120)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cholesterol biosynthetic process (GO:0006695)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
steroid biosynthetic process (GO:0006694)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
prostaglandin metabolic process (GO:0006693)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
prostanoid metabolic process (GO:0006692)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
leukotriene metabolic process (GO:0006691)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
icosanoid metabolic process (GO:0006690)	25	0	.21	-	 < 0.01	1.00E00	1.00E00
SREBP signaling pathway (GO:0032933)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of superoxide anion generation (GO:0032930)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
positive regulation of Arp2/3 complex-mediated actin nucleation (GO:2000601)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
inner ear receptor cell development (GO:0060119)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
auditory receptor cell development (GO:0060117)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
inner ear receptor cell differentiation (GO:0060113)	18	0	.15	-	 < 0.01	1.00E00	1.00E00
negative regulation of ripoptosome assembly involved in necroptotic process (GO:1902443)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of ripoptosome assembly involved in necroptotic process (GO:1902442)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ganglioside catabolic process (GO:0006689)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
glycosphingolipid biosynthetic process (GO:0006688)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
glycosphingolipid metabolic process (GO:0006687)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
sphingomyelin biosynthetic process (GO:0006686)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of superoxide anion generation (GO:0032929)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
sphingomyelin metabolic process (GO:0006684)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of superoxide anion generation (GO:0032928)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
galactosylceramide catabolic process (GO:0006683)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of activin receptor signaling pathway (GO:0032927)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
galactosylceramide biosynthetic process (GO:0006682)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of activin receptor signaling pathway (GO:0032926)	6	1	.05	+	19.80	5.70E-02	1.00E00
galactosylceramide metabolic process (GO:0006681)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of activin receptor signaling pathway (GO:0032925)	11	1	.09	+	10.80	9.58E-02	1.00E00
activin receptor signaling pathway (GO:0032924)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
circadian regulation of gene expression (GO:0032922)	28	0	.24	-	 < 0.01	1.00E00	1.00E00
positive regulation of male mating behavior (GO:1902437)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of male mating behavior (GO:1902435)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glucosylceramide biosynthetic process (GO:0006679)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of phagocytosis, engulfment (GO:0060101)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
glucosylceramide metabolic process (GO:0006678)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of phagocytosis, engulfment (GO:0060100)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of amyloid-beta formation (GO:1902430)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
glycosylceramide metabolic process (GO:0006677)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
spermidine acetylation (GO:0032918)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
polyamine acetylation (GO:0032917)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ceramide metabolic process (GO:0006672)	30	0	.25	-	 < 0.01	1.00E00	1.00E00
positive regulation of transforming growth factor beta3 production (GO:0032916)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
phytosphingosine metabolic process (GO:0006671)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of transforming growth factor beta2 production (GO:0032915)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
sphingosine metabolic process (GO:0006670)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of transforming growth factor beta1 production (GO:0032914)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of transforming growth factor beta1 production (GO:0032911)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of transforming growth factor beta3 production (GO:0032910)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
olfactory placode morphogenesis (GO:0071699)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
olfactory placode development (GO:0071698)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ectodermal placode morphogenesis (GO:0071697)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
ectodermal placode development (GO:0071696)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
anatomical structure maturation (GO:0071695)	73	0	.61	-	 < 0.01	1.00E00	1.00E00
maintenance of protein location in extracellular region (GO:0071694)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
deactivation of mitotic spindle assembly checkpoint (GO:1902426)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of attachment of mitotic spindle microtubules to kinetochore (GO:1902425)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
protein localization to extracellular region (GO:0071692)	50	0	.42	-	 < 0.01	1.00E00	1.00E00
regulation of attachment of mitotic spindle microtubules to kinetochore (GO:1902423)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
sphinganine metabolic process (GO:0006667)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
sphingolipid metabolic process (GO:0006665)	41	1	.35	+	2.90	2.98E-01	1.00E00
regulation of transforming growth factor beta2 production (GO:0032909)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
glycolipid metabolic process (GO:0006664)	25	0	.21	-	 < 0.01	1.00E00	1.00E00
regulation of transforming growth factor beta1 production (GO:0032908)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
platelet activating factor biosynthetic process (GO:0006663)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
glycerol ether metabolic process (GO:0006662)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol biosynthetic process (GO:0006661)	38	0	.32	-	 < 0.01	1.00E00	1.00E00
transforming growth factor beta1 production (GO:0032905)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphatidylserine catabolic process (GO:0006660)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
TORC2 signaling (GO:0038203)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
TORC1 signaling (GO:0038202)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
organism emergence from protective structure (GO:0071684)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
positive regulation of mRNA binding (GO:1902416)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of mRNA binding (GO:1902415)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
protein localization to cell junction (GO:1902414)	44	0	.37	-	 < 0.01	1.00E00	1.00E00
cellular response to indole-3-methanol (GO:0071681)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
response to indole-3-methanol (GO:0071680)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphatidylserine metabolic process (GO:0006658)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
mitotic cytokinetic process (GO:1902410)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
CDP-choline pathway (GO:0006657)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphatidylcholine biosynthetic process (GO:0006656)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
phosphatidylglycerol biosynthetic process (GO:0006655)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphatidic acid biosynthetic process (GO:0006654)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
diacylglycerol biosynthetic process (GO:0006651)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
glycerophospholipid metabolic process (GO:0006650)	106	1	.89	+	1.12	5.96E-01	1.00E00
T-helper 1 cell lineage commitment (GO:0002296)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
T-helper cell lineage commitment (GO:0002295)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
CD4-positive, alpha-beta T cell differentiation involved in immune response (GO:0002294)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
alpha-beta T cell differentiation involved in immune response (GO:0002293)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
T cell differentiation involved in immune response (GO:0002292)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell (GO:0002291)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
commissural neuron axon guidance (GO:0071679)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of mononuclear cell migration (GO:0071677)	25	0	.21	-	 < 0.01	1.00E00	1.00E00
negative regulation of mononuclear cell migration (GO:0071676)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of mononuclear cell migration (GO:0071675)	48	0	.40	-	 < 0.01	1.00E00	1.00E00
mononuclear cell migration (GO:0071674)	27	1	.23	+	4.40	2.10E-01	1.00E00
positive regulation of smooth muscle cell chemotaxis (GO:0071673)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of smooth muscle cell chemotaxis (GO:0071672)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of smooth muscle cell chemotaxis (GO:0071671)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phospholipid transfer to membrane (GO:0006649)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylethanolamine biosynthetic process (GO:0006646)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
phospholipid metabolic process (GO:0006644)	124	1	1.04	-	.96	1.00E00	1.00E00
membrane lipid metabolic process (GO:0006643)	51	1	.43	+	2.33	3.55E-01	1.00E00
triglyceride mobilization (GO:0006642)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
triglyceride metabolic process (GO:0006641)	18	0	.15	-	 < 0.01	1.00E00	1.00E00
monoacylglycerol biosynthetic process (GO:0006640)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
alpha-beta T cell activation involved in immune response (GO:0002287)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
T cell activation involved in immune response (GO:0002286)	25	0	.21	-	 < 0.01	1.00E00	1.00E00
lymphocyte activation involved in immune response (GO:0002285)	43	0	.36	-	 < 0.01	1.00E00	1.00E00
neutrophil activation involved in immune response (GO:0002283)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
microglial cell activation involved in immune response (GO:0002282)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
macrophage activation involved in immune response (GO:0002281)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
acylglycerol metabolic process (GO:0006639)	31	0	.26	-	 < 0.01	1.00E00	1.00E00
neutral lipid metabolic process (GO:0006638)	31	0	.26	-	 < 0.01	1.00E00	1.00E00
acyl-CoA metabolic process (GO:0006637)	19	0	.16	-	 < 0.01	1.00E00	1.00E00
unsaturated fatty acid biosynthetic process (GO:0006636)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
fatty acid beta-oxidation (GO:0006635)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
fatty acid biosynthetic process (GO:0006633)	31	0	.26	-	 < 0.01	1.00E00	1.00E00
tRNA demethylation (GO:1990983)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
fatty acid metabolic process (GO:0006631)	76	0	.64	-	 < 0.01	1.00E00	1.00E00
mast cell activation involved in immune response (GO:0002279)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
eosinophil activation involved in immune response (GO:0002278)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
myeloid dendritic cell activation involved in immune response (GO:0002277)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
basophil activation involved in immune response (GO:0002276)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
myeloid cell activation involved in immune response (GO:0002275)	26	0	.22	-	 < 0.01	1.00E00	1.00E00
myeloid leukocyte activation (GO:0002274)	58	0	.49	-	 < 0.01	1.00E00	1.00E00
plasmacytoid dendritic cell differentiation (GO:0002273)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
plasmacytoid dendritic cell activation (GO:0002270)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of granulocyte colony-stimulating factor production (GO:0071656)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of granulocyte colony-stimulating factor production (GO:0071655)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of chemokine (C-C motif) ligand 5 production (GO:0071650)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lipid metabolic process (GO:0006629)	312	1	2.63	-	.38	5.17E-01	1.00E00
protein processing involved in protein targeting to mitochondrion (GO:0006627)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein targeting to mitochondrion (GO:0006626)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
protein targeting to peroxisome (GO:0006625)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
vacuolar protein processing (GO:0006624)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
protein targeting to vacuole (GO:0006623)	25	0	.21	-	 < 0.01	1.00E00	1.00E00
protein targeting to lysosome (GO:0006622)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
protein retention in ER lumen (GO:0006621)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
leukocyte activation involved in inflammatory response (GO:0002269)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
post-translational protein targeting to endoplasmic reticulum membrane (GO:0006620)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
astrocyte activation involved in immune response (GO:0002265)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
cell activation involved in immune response (GO:0002263)	69	0	.58	-	 < 0.01	1.00E00	1.00E00
myeloid cell homeostasis (GO:0002262)	65	1	.55	+	1.83	4.27E-01	1.00E00
lymphocyte homeostasis (GO:0002260)	29	0	.24	-	 < 0.01	1.00E00	1.00E00
regulation of chemokine (C-C motif) ligand 5 production (GO:0071649)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of macrophage inflammatory protein 1 alpha production (GO:0071641)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of macrophage inflammatory protein 1 alpha production (GO:0071640)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
modulation by host of viral RNA-binding transcription factor activity (GO:1990969)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition (GO:0006617)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
modulation by host of RNA binding by virus (GO:1990968)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
SRP-dependent cotranslational protein targeting to membrane, translocation (GO:0006616)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
ATP generation from poly-ADP-D-ribose (GO:1990966)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
cotranslational protein targeting to membrane (GO:0006613)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
protein targeting to membrane (GO:0006612)	29	0	.24	-	 < 0.01	1.00E00	1.00E00
establishment of blood-retinal barrier (GO:1990963)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein export from nucleus (GO:0006611)	21	0	.18	-	 < 0.01	1.00E00	1.00E00
xenobiotic transport across blood-brain barrier (GO:1990962)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
ribosomal protein import into nucleus (GO:0006610)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
xenobiotic detoxification by transmembrane export across the plasma membrane (GO:1990961)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
kinin cascade (GO:0002254)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
